id,role,fullname,date_of_birth,gender,email,phone,avatar_url,address,bio,username,password,google_id,activation_token,activation_token_sent_at,status,email_verified_at,last_login_at,created_at,updated_at
"019ce0b3-63b3-7258-9e59-ac64dcd166e3",1,Admin,"","",admin@example.com,"","","","",admin,$2y$12$4PxSBGgVh8saOF/LQnKvcOGK9RL6M5M/SME6UFvxWrEDeV2gTuCge,"","","",2,"","",2026-03-12 13:19:38,2026-03-12 13:19:38
"019ce0b3-648e-7134-a877-8373063b1f65",2,Matthew Hernandez,"","",staff@example.com,"","","","",staff,$2y$12$1XdVpSpWylZ3YOrWt8fukOq2UkOtiI9XSVLBOB64jYdkK77BVk.YO,"","","",2,"",2026-03-19 08:34:37,2026-03-12 13:19:39,2026-03-19 08:34:37
"019ce0b3-6564-71eb-805c-185c74364725",3,Roth Conway,"","",hung.nkd.29012003@gmail.com,"","","","",user1,$2y$12$ANMPlgxDPT3q3hciw1l8LumLXHbMwsqs6OsqESY6d2JtufY88DgvK,"","","",2,"","",2026-03-12 13:19:39,2026-03-12 13:19:39
"019ce0b3-6639-7234-a4cc-c891e2cf6b77",3,Kylynn Buchanan,"","",hungnkd2912003@gmail.com,"","","","",user2,$2y$12$QZCwhISaci0rFb7dHBiR8uS7NEbk6q5Pkd4XuhhoKSCcN5Ap8FbjC,"","","",2,"","",2026-03-12 13:19:39,2026-03-12 13:19:39
"019ce0b3-6711-712c-8a67-4a09458f9621",3,Tobias Blackwell,"","",to2lop9.8tvuong@gmail.com,"","","","",user3,$2y$12$K0j75F1i5t88qCJz60aFOeRNRd6OSZOzgtcn1sgtVdKf29i7OrATG,"","","",2,"","",2026-03-12 13:19:39,2026-03-12 13:19:39
"019ce0b3-67ea-7002-9b76-c11162d87781",3,Lynn Stein,"","",bocute291@hotmail.com,"","","","",user4,$2y$12$Ph2HkLxkRQUJpiTukK2Mou0tolmGtC4rjqgksQtvoZqRur9.SiatC,"","","",2,"","",2026-03-12 13:19:39,2026-03-12 13:19:39
"019ce0b3-68c2-720e-8300-0d519283e43e",3,Sebastian Vance,"","",hungnkd291@hotmail.com,"","","","",user5,$2y$12$4FGCl5XIqo9B0avDlnyvNunTSlESmIKv.H6PcIHTkR8E6KQr/SOdC,"","","",2,"","",2026-03-12 13:19:40,2026-03-12 13:19:40
"019ce0b3-6998-72d3-b835-16dc12b320cd",3,Brynne Parrish,"","",hungnkd2912003@hotmail.com,"","","","",user6,$2y$12$nlE8IBqYTHEyo2BfV3Pt6eXtar2rzV2SRc808BEcu/COhgDKr1XNm,"","","",2,"","",2026-03-12 13:19:40,2026-03-12 13:19:40
"019ce0b3-6a72-7344-b6d3-26ceaa69a0ea",3,Athena Robinson,"","",user7@example.com,"","","","",user7,$2y$12$rGwPjH0Tb6vN6YUj36EkpuDDB4WLu9qtI41cp3/JRExfZmVfjPR9e,"","","",2,"","",2026-03-12 13:19:40,2026-03-12 13:19:40
"019ce0b3-6b7e-725d-8970-18e4513c148e",3,Linus Page,"","",user8@example.com,"","","","",user8,$2y$12$XbJWqXZFOY5qQC55iZkK..NDACtuBb3j/Okj0GipvpVsZ4MoEUbKe,"","","",2,"","",2026-03-12 13:19:40,2026-03-12 13:19:40
"019ce0b3-6c78-7343-aab9-76e9987bc921",3,Donna Fry,"","",user9@example.com,"","","","",user9,$2y$12$i33zOuxdQbEWHP5/8J/S/uh3bSVrHI/kkwvgua.ysP7RMy4IGVTEe,"","","",2,"","",2026-03-12 13:19:41,2026-03-12 13:19:41
"019ce0b3-6d4a-7270-a72c-0db420c35439",3,Hiram Bush,"","",user10@example.com,"","","","",user10,$2y$12$x0ri8CasNZq4EYYLSFyTEe.wYZkpONBZfGvPMbQxctiZzbwGZmMpq,"","","",2,"","",2026-03-12 13:19:41,2026-03-12 13:19:41
"019ce0b3-6e21-7059-ae4e-7b221fae72ec",3,Amena Mcneil,"","",user11@example.com,"","","","",user11,$2y$12$6gL4KRKDIJFDT56TK6YrveOezXmcRQ8JjzKHOdx8DceOxs8DRm5WC,"","","",2,"","",2026-03-12 13:19:41,2026-03-12 13:19:41
"019ce0b3-6ef6-7260-b58c-5fc4706ffc3c",3,Jake Hunter,"","",user12@example.com,"","","","",user12,$2y$12$TRTDTLk1KofUvAsmMOBDsONssHMcih88cw68iFoI6GN0ZA2EyKapm,"","","",2,"","",2026-03-12 13:19:41,2026-03-12 13:19:41
"019ce0b3-6fcb-70fc-b227-27076884b06c",3,Mason Clark,"","",user13@example.com,"","","","",user13,$2y$12$4HfkRt9K7zFUvDefnK6ZG.UgLvxJ5Z.9QSfJm8dgtaYSVpUZ/7WcW,"","","",2,"","",2026-03-12 13:19:41,2026-03-12 13:19:41
"019ce0b3-70a0-726e-9130-c26f2c98e0e5",3,Ethan Walker,"","",user14@example.com,"","","","",user14,$2y$12$B/EEpjPwN7sRA2n5EBHime9eD/ouIfB6XFm0CpRBOpRGSNj3/tiXO,"","","",2,"","",2026-03-12 13:19:42,2026-03-12 13:19:42
"019ce0b3-7176-7350-b591-785e701d7641",3,Kyle Bennett,"","",user15@example.com,"","","","",user15,$2y$12$nAxxMKPGOUIgqxf7VOmAGeZKf3GvXNAsiXJmXgEoKep8xOSrcIfma,"","","",2,"","",2026-03-12 13:19:42,2026-03-12 13:19:42
"019ce0b3-724b-7212-8800-29adaf020bb0",3,Justin Ward,"","",user16@example.com,"","","","",user16,$2y$12$01OKmu0KD9bMLlE2Uu4qfe9sQWVWaeBx77FVqMn69xWH4Vj60BIJK,"","","",2,"","",2026-03-12 13:19:42,2026-03-12 13:19:42
"019ce0b3-732b-70d3-8398-478fe81d510c",3,Trevor Morgan,"","",user17@example.com,"","","","",user17,$2y$12$H2NRytRMRl0vhjHzTpFVAuMT332NFOA.dDw6ahKBe66o9Us3p.W/a,"","","",2,"","",2026-03-12 13:19:42,2026-03-12 13:19:42
"019ce0b3-7403-7301-8227-98aa1e8d85b6",3,Cody Fisher,"","",user18@example.com,"","","","",user18,$2y$12$8z4YBofm1eZcIsiFysbMjuPVTLOf6WiNF9V6DIxipJ4QORtPqZ2oy,"","","",2,"","",2026-03-12 13:19:42,2026-03-12 13:19:42
"019ce0b3-74df-715c-bf02-c8fb37e82037",3,Blake Sanders,"","",user19@example.com,"","","","",user19,$2y$12$xmUP6v7jsLPb566LkixdZu/scVenc9Em9YvVYk8bqwSieYNseAxSS,"","","",2,"","",2026-03-12 13:19:43,2026-03-12 13:19:43
"019ce0b3-75b6-70b2-82f0-80566a94f6e5",3,James Smith,"","",user20@example.com,"","","","",user20,$2y$12$oQ6cefEIZcWj9NMyBFe6HukeNBH/f9bw4if5SgTYfOcJrIth2nyQ2,"","","",2,"","",2026-03-12 13:19:43,2026-03-12 13:19:43
"019ce0b3-768b-7231-828a-cdbc58d9c634",3,Michael Johnson,"","",user21@example.com,"","","","",user21,$2y$12$it7/0A9KsBXYmTc1lt5FsuxbCg4HqQRqaQ5vxb6lxo5Qhh9sGmFcG,"","","",2,"","",2026-03-12 13:19:43,2026-03-12 13:19:43
"019ce0b3-7765-718b-ab50-cf1b7d5ac739",3,Robert Williams,"","",user22@example.com,"","","","",user22,$2y$12$5hw5CwknfGPapILWSgwrze37IXb0pdktjOwvyl72CF.1Lbrqg6GzO,"","","",2,"","",2026-03-12 13:19:43,2026-03-12 13:19:43
"019ce0b3-7837-735c-8e62-226799b0cd5a",3,John Brown,"","",user23@example.com,"","","","",user23,$2y$12$cenlGpB1NWx/3aePzfoVnOe/bRMNIjQqzrR//v0r3NgZ5JaO.Z1ju,"","","",2,"","",2026-03-12 13:19:44,2026-03-12 13:19:44
"019ce0b3-7908-70f0-9960-7119c76c29ba",3,David Jones,"","",user24@example.com,"","","","",user24,$2y$12$d1Iuv70fYzigLVgjgk5n..ruXCzIINZvXeiKP6gZ.xJ6ZchxnRTQ2,"","","",2,"","",2026-03-12 13:19:44,2026-03-12 13:19:44
"019ce0b3-79db-722a-8dae-20b167a8bbd5",3,William Miller,"","",user25@example.com,"","","","",user25,$2y$12$WHMgEVshADtlQWajk8jCcOW/Qh1j4HGjNdq4aGvhalLuokruw/Brq,"","","",2,"","",2026-03-12 13:19:44,2026-03-12 13:19:44
"019ce0b3-7ab0-7160-a367-b40cb47c7ab9",3,Richard Davis,"","",user26@example.com,"","","","",user26,$2y$12$uxObIVX5W5LhbGqh7LUFl.afKSAEK0bWboyhsyJad.KX/j612ymcG,"","","",2,"","",2026-03-12 13:19:44,2026-03-12 13:19:44
"019ce0b3-7b82-72a5-9882-a31d8a9ca8c9",3,Joseph Garcia,"","",user27@example.com,"","","","",user27,$2y$12$2jtqXLLDs/hD0uelU0XJl.juaFldpiP.0UE7ow/lgx1xlezLjeM5.,"","","",2,"","",2026-03-12 13:19:44,2026-03-12 13:19:44
"019ce0b3-7c5f-7036-87e5-febf40aae07b",3,Thomas Martinez,"","",user28@example.com,"","","","",user28,$2y$12$4McyD4FiKiApyhqgQhNVmumQbIPwtvMDd0.JxwQSnEY1bwUmD0/4u,"","","",2,"","",2026-03-12 13:19:45,2026-03-12 13:19:45
"019ce0b3-7d35-7372-90f9-63711e136e88",3,Charles Anderson,"","",user29@example.com,"","","","",user29,$2y$12$kZmiCaOItpMESoRXVzUSaeCKVd6RUNssMJmFZtAMsbDGWA1tB5iai,"","","",2,"","",2026-03-12 13:19:45,2026-03-12 13:19:45
